ID,Questions,Responses
150,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
151,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
152,Are your data scientists using Git?,"No, we are not using Git for data science"
153,Are your data scientists using Git?,
154,Are your data scientists using Git?,"No, we are not using Git for data science"
155,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
156,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
157,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
158,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
159,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
160,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
161,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
162,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
163,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
164,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
165,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
166,Are your data scientists using Git?,"No, we are not using Git for data science"
167,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
168,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
169,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
170,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
171,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
172,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
173,Are your data scientists using Git?,"No, we are not using Git for data science"
174,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
175,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
176,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
177,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
178,Are your data scientists using Git?,"No, we are not using Git for data science"
179,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
180,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
181,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
182,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
183,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
184,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
185,Are your data scientists using Git?,"No, we are not using Git for data science"
186,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
187,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
188,Are your data scientists using Git?,"No, we are not using Git for data science"
189,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
190,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
191,Are your data scientists using Git?,"No, we are not using Git for data science"
192,Are your data scientists using Git?,"No, we are not using Git for data science"
193,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
194,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
195,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
196,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
197,Are your data scientists using Git?,"No, we are not using Git for data science"
198,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
199,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
200,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
201,Are your data scientists using Git?,"No, we are not using Git for data science"
202,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
203,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
204,Are your data scientists using Git?,"No, we are not using Git for data science"
205,Are your data scientists using Git?,"No, we are not using Git for data science"
206,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
207,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
208,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
209,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
210,Are your data scientists using Git?,"No, we are not using Git for data science"
211,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
212,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
213,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
214,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
215,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
216,Are your data scientists using Git?,"No, we are not using Git for data science"
1,Do analysts and data scientists work alone or collaborate?,Some collaboration
2,Do analysts and data scientists work alone or collaborate?,Some collaboration
3,Do analysts and data scientists work alone or collaborate?,Some collaboration
4,Do analysts and data scientists work alone or collaborate?,Some collaboration
5,Do analysts and data scientists work alone or collaborate?,Some collaboration
6,Do analysts and data scientists work alone or collaborate?,Some collaboration
7,Do analysts and data scientists work alone or collaborate?,Work solo and / or work locally
8,Do analysts and data scientists work alone or collaborate?,Some collaboration
9,Do analysts and data scientists work alone or collaborate?,Seamless collaboration
10,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
11,Do analysts and data scientists work alone or collaborate?,Seamless collaboration
12,Do analysts and data scientists work alone or collaborate?,Some collaboration
13,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
14,Do analysts and data scientists work alone or collaborate?,Some collaboration
15,Do analysts and data scientists work alone or collaborate?,
16,Do analysts and data scientists work alone or collaborate?,Some collaboration
17,Do analysts and data scientists work alone or collaborate?,Some collaboration
18,Do analysts and data scientists work alone or collaborate?,Some collaboration
19,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
20,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
21,Do analysts and data scientists work alone or collaborate?,Some collaboration
22,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
23,Do analysts and data scientists work alone or collaborate?,Some collaboration
24,Do analysts and data scientists work alone or collaborate?,Some collaboration
25,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
26,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
27,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
28,Do analysts and data scientists work alone or collaborate?,Some collaboration
29,Do analysts and data scientists work alone or collaborate?,Some collaboration
30,Do analysts and data scientists work alone or collaborate?,Some collaboration
31,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
32,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
33,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
34,Do analysts and data scientists work alone or collaborate?,Some collaboration
35,Do analysts and data scientists work alone or collaborate?,Some collaboration
36,Do analysts and data scientists work alone or collaborate?,Some collaboration
37,Do analysts and data scientists work alone or collaborate?,Some collaboration
38,Do analysts and data scientists work alone or collaborate?,Some collaboration
39,Do analysts and data scientists work alone or collaborate?,Some collaboration
40,Do analysts and data scientists work alone or collaborate?,Some collaboration
41,Do analysts and data scientists work alone or collaborate?,Work solo and / or work locally
42,Do analysts and data scientists work alone or collaborate?,Some collaboration
43,Do analysts and data scientists work alone or collaborate?,Some collaboration
44,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
45,Do analysts and data scientists work alone or collaborate?,
46,Do analysts and data scientists work alone or collaborate?,"Small company, data scientists are the analyst"
47,Do analysts and data scientists work alone or collaborate?,Seamless collaboration
48,Do analysts and data scientists work alone or collaborate?,Some collaboration
49,Do analysts and data scientists work alone or collaborate?,Some collaboration
50,Do analysts and data scientists work alone or collaborate?,We do not have dedicated analysts
51,Do analysts and data scientists work alone or collaborate?,Some collaboration
52,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
53,Do analysts and data scientists work alone or collaborate?,Work solo and / or work locally
54,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
55,Do analysts and data scientists work alone or collaborate?,Some collaboration
56,Do analysts and data scientists work alone or collaborate?,Some collaboration
57,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
58,Do analysts and data scientists work alone or collaborate?,Some collaboration
59,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
60,Do analysts and data scientists work alone or collaborate?,Some collaboration
61,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
62,Do analysts and data scientists work alone or collaborate?,Some collaboration
63,Do analysts and data scientists work alone or collaborate?,Work solo and / or work locally
64,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
65,Do analysts and data scientists work alone or collaborate?,Some collaboration
66,Do analysts and data scientists work alone or collaborate?,Same person...
67,Do analysts and data scientists work alone or collaborate?,Some collaboration
68,Do analysts and data scientists work alone or collaborate?,Some collaboration
69,Do analysts and data scientists work alone or collaborate?,Some collaboration
70,Do analysts and data scientists work alone or collaborate?,Some collaboration
71,Do analysts and data scientists work alone or collaborate?,Work solo and / or work locally
72,Do analysts and data scientists work alone or collaborate?,Seamless collaboration
73,Do analysts and data scientists work alone or collaborate?,Some collaboration
74,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
75,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
76,Do analysts and data scientists work alone or collaborate?,Seamless collaboration
77,Do analysts and data scientists work alone or collaborate?,Some collaboration
78,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
79,Do analysts and data scientists work alone or collaborate?,Some collaboration
80,Do analysts and data scientists work alone or collaborate?,Some collaboration
81,Do analysts and data scientists work alone or collaborate?,Some collaboration
82,Do analysts and data scientists work alone or collaborate?,Some collaboration
83,Do analysts and data scientists work alone or collaborate?,Some collaboration
84,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
85,Do analysts and data scientists work alone or collaborate?,Some collaboration
86,Do analysts and data scientists work alone or collaborate?,Some collaboration
87,Do analysts and data scientists work alone or collaborate?,Some collaboration
88,Do analysts and data scientists work alone or collaborate?,Some collaboration
89,Do analysts and data scientists work alone or collaborate?,Some collaboration
90,Do analysts and data scientists work alone or collaborate?,I am the only data scientist on staff so I wear the analytics hat too!
91,Do analysts and data scientists work alone or collaborate?,Some collaboration
92,Do analysts and data scientists work alone or collaborate?,Some collaboration
93,Do analysts and data scientists work alone or collaborate?,Some collaboration
94,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
95,Do analysts and data scientists work alone or collaborate?,
96,Do analysts and data scientists work alone or collaborate?,Seamless collaboration
97,Do analysts and data scientists work alone or collaborate?,No analysts/small team
98,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
99,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
100,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
101,Do analysts and data scientists work alone or collaborate?,Seamless collaboration
102,Do analysts and data scientists work alone or collaborate?,Some collaboration
103,Do analysts and data scientists work alone or collaborate?,Some collaboration
104,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
105,Do analysts and data scientists work alone or collaborate?,Some collaboration
106,Do analysts and data scientists work alone or collaborate?,Seamless collaboration
107,Do analysts and data scientists work alone or collaborate?,Some collaboration
108,Do analysts and data scientists work alone or collaborate?,Seamless collaboration
109,Do analysts and data scientists work alone or collaborate?,Some collaboration
110,Do analysts and data scientists work alone or collaborate?,Some collaboration
111,Do analysts and data scientists work alone or collaborate?,Seamless collaboration
112,Do analysts and data scientists work alone or collaborate?,Work solo and / or work locally
113,Do analysts and data scientists work alone or collaborate?,Some collaboration
114,Do analysts and data scientists work alone or collaborate?,Work solo and / or work locally
115,Do analysts and data scientists work alone or collaborate?,Seamless collaboration
116,Do analysts and data scientists work alone or collaborate?,Some collaboration
117,Do analysts and data scientists work alone or collaborate?,Work solo and / or work locally
118,Do analysts and data scientists work alone or collaborate?,Seamless collaboration
119,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
120,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
121,Do analysts and data scientists work alone or collaborate?,Some collaboration
122,Do analysts and data scientists work alone or collaborate?,
123,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
124,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
125,Do analysts and data scientists work alone or collaborate?,Some collaboration
126,Do analysts and data scientists work alone or collaborate?,Some collaboration
127,Do analysts and data scientists work alone or collaborate?,Some collaboration
128,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
129,Do analysts and data scientists work alone or collaborate?,Some collaboration
130,Do analysts and data scientists work alone or collaborate?,Some collaboration
131,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
132,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
133,Do analysts and data scientists work alone or collaborate?,Some collaboration
134,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
135,Do analysts and data scientists work alone or collaborate?,Seamless collaboration
136,Do analysts and data scientists work alone or collaborate?,Some collaboration
137,Do analysts and data scientists work alone or collaborate?,Work solo and / or work locally
138,Do analysts and data scientists work alone or collaborate?,Some collaboration
139,Do analysts and data scientists work alone or collaborate?,Some collaboration
140,Do analysts and data scientists work alone or collaborate?,Some collaboration
141,Do analysts and data scientists work alone or collaborate?,Some collaboration
142,Do analysts and data scientists work alone or collaborate?,Work solo and / or work locally
143,Do analysts and data scientists work alone or collaborate?,Seamless collaboration
144,Do analysts and data scientists work alone or collaborate?,Work solo and / or work locally
145,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
146,Do analysts and data scientists work alone or collaborate?,Work solo and / or work locally
147,Do analysts and data scientists work alone or collaborate?,Some collaboration
148,Do analysts and data scientists work alone or collaborate?,Seamless collaboration
149,Do analysts and data scientists work alone or collaborate?,Seamless collaboration
150,Do analysts and data scientists work alone or collaborate?,Seamless collaboration
151,Do analysts and data scientists work alone or collaborate?,Some collaboration
152,Do analysts and data scientists work alone or collaborate?,Seamless collaboration
153,Do analysts and data scientists work alone or collaborate?,
154,Do analysts and data scientists work alone or collaborate?,Work solo and / or work locally
155,Do analysts and data scientists work alone or collaborate?,Seamless collaboration
156,Do analysts and data scientists work alone or collaborate?,Some collaboration
157,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
158,Do analysts and data scientists work alone or collaborate?,Some collaboration
159,Do analysts and data scientists work alone or collaborate?,Work solo and / or work locally
160,Do analysts and data scientists work alone or collaborate?,Some collaboration
161,Do analysts and data scientists work alone or collaborate?,Seamless collaboration
162,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
163,Do analysts and data scientists work alone or collaborate?,Some collaboration
164,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
165,Do analysts and data scientists work alone or collaborate?,Some collaboration
166,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
167,Do analysts and data scientists work alone or collaborate?,Some collaboration
168,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
169,Do analysts and data scientists work alone or collaborate?,Some collaboration
170,Do analysts and data scientists work alone or collaborate?,Work solo and / or work locally
171,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
172,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
173,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
174,Do analysts and data scientists work alone or collaborate?,Some collaboration
175,Do analysts and data scientists work alone or collaborate?,Some collaboration
176,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
177,Do analysts and data scientists work alone or collaborate?,Some collaboration
178,Do analysts and data scientists work alone or collaborate?,Some collaboration
179,Do analysts and data scientists work alone or collaborate?,Some collaboration
180,Do analysts and data scientists work alone or collaborate?,Some collaboration
181,Do analysts and data scientists work alone or collaborate?,Work solo and / or work locally
182,Do analysts and data scientists work alone or collaborate?,Some collaboration
183,Do analysts and data scientists work alone or collaborate?,Some collaboration
184,Do analysts and data scientists work alone or collaborate?,Some collaboration
185,Do analysts and data scientists work alone or collaborate?,Some collaboration
186,Do analysts and data scientists work alone or collaborate?,Some collaboration
187,Do analysts and data scientists work alone or collaborate?,Some collaboration
188,Do analysts and data scientists work alone or collaborate?,Some collaboration
189,Do analysts and data scientists work alone or collaborate?,Some collaboration
190,Do analysts and data scientists work alone or collaborate?,No other members on the unit
191,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
192,Do analysts and data scientists work alone or collaborate?,Some collaboration
193,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
194,Do analysts and data scientists work alone or collaborate?,Some collaboration
195,Do analysts and data scientists work alone or collaborate?,Work solo and / or work locally
196,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
197,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
198,Do analysts and data scientists work alone or collaborate?,Work solo and / or work locally
199,Do analysts and data scientists work alone or collaborate?,Seamless collaboration
200,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
201,Do analysts and data scientists work alone or collaborate?,Seamless collaboration
202,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
203,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
204,Do analysts and data scientists work alone or collaborate?,Some collaboration
205,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
206,Do analysts and data scientists work alone or collaborate?,Some collaboration
207,Do analysts and data scientists work alone or collaborate?,Some collaboration
208,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
209,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
210,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
211,Do analysts and data scientists work alone or collaborate?,Some collaboration
212,Do analysts and data scientists work alone or collaborate?,Some collaboration
213,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
214,Do analysts and data scientists work alone or collaborate?,We collaborate but there are pain points
215,Do analysts and data scientists work alone or collaborate?,Same people
216,Do analysts and data scientists work alone or collaborate?,Some collaboration
1,How much of your data analytics and machine learning development is done using Python & PyData stack? ,We use Python more than other programming languages
2,How much of your data analytics and machine learning development is done using Python & PyData stack? ,We use Python more than other programming languages
3,How much of your data analytics and machine learning development is done using Python & PyData stack? ,We use Python more than other programming languages
4,How much of your data analytics and machine learning development is done using Python & PyData stack? ,We use Python more than other programming languages
